Player,Position,Team,Salary
Mitch McGary,PF,Oklahoma City Thunder,1.52604
Joffrey Lauvergne,C,San Antonio Spurs,1.524305
Julyan Stone,PG,Charlotte Hornets,1.524305
Jerami Grant,SF,Oklahoma City Thunder,1.524305
Joe Harris,SF,Brooklyn Nets,1.524305
Glenn Robinson III,SG,Indiana Pacers,1.524305
Bobby Portis,PF,Chicago Bulls,1.51632
Malachi Richardson,SG,Toronto Raptors,1.50456
Marcelo Huertas,PG,Houston Rockets,1.5
Chris McCullough,PF,Washington Wizards,1.471382
Donald Sloan,PG,Washington Wizards,1.471382
Jarell Martin,PF,Memphis Grizzlies,1.471382
Mario Chalmers,PG,Memphis Grizzlies,1.471382
Raul Neto,PG,Utah Jazz,1.471382
Anthony Morrow,SG,Portland Trail Blazers,1.471382
Pat Connaughton,SG,Portland Trail Blazers,1.471382
Nikola Jokic,C,Denver Nuggets,1.471382
Jeremy Evans,SF,Atlanta Hawks,1.471382
Caleb Swanigan,PF,Portland Trail Blazers,1.46592
Furkan Korkmaz,SG,Philadelphia 76ers,1.46592
Jordan Adams,SG,Memphis Grizzlies,1.46508
Richard Jefferson,SF,Denver Nuggets,1.454756
Willy Hernangomez,C,Charlotte Hornets,1.43575
Jameer Nelson,PG,Detroit Pistons,1.429818
Kyle Kuzma,PF,Los Angeles Lakers,1.42356
Tony Bradley,C,Utah Jazz,1.41492
Derrick White,PG,San Antonio Spurs,1.4046
Josh Hart,SG,Los Angeles Lakers,1.39452
Timothe Luwawu-Cabarrot,SG,Philadelphia 76ers,1.3866
Josh Smith,PF,New Orleans Pelicans,1.37994
Guillermo Hernangomez,C,New York Knicks,1.35
Sasha Kaun,C,Philadelphia 76ers,1.33324
Brice Johnson,PF,Memphis Grizzlies,1.33116
Daniel Ochefu,PF,Washington Wizards,1.312611
Deyonta Davis,C,Memphis Grizzlies,1.312611
Wayne Selden,SG,Memphis Grizzlies,1.312611
Andrew Harrison,SG,Memphis Grizzlies,1.312611
Bryn Forbes,SG,San Antonio Spurs,1.312611
Treveon Graham,SG,Charlotte Hornets,1.312611
Stephen Zimmerman,C,Los Angeles Lakers,1.312611
Skal Labissiere,PF,Sacramento Kings,1.312611
Nicolas Brussino,SF,Atlanta Hawks,1.312611
Sheldon Mac,SG,Atlanta Hawks,1.312611
Isaiah Taylor,PG,Atlanta Hawks,1.312611
Semi Ojeleye,PF,Boston Celtics,1.291892
Livio Jean-Charles,SF,San Antonio Spurs,1.18884
Frank Mason III,PG,Sacramento Kings,1.184385
Abdel Nader,SF,Boston Celtics,1.167333
Damyean Dotson,SG,New York Knicks,1.1
Tony Wroten,SG,Memphis Grizzlies,1.050961
Chris Johnson,SG,Houston Rockets,1.050961
John Jenkins,SG,Atlanta Hawks,1.050961
Wesley Iwundu,SF,Orlando Magic,1.05
Anthony Bennett,PF,Phoenix Suns,1.015696
Andrew Goudelock,PG,Houston Rockets,1.015696
Isaiah Canaan,PG,Phoenix Suns,0.997547
Arinze Onuaku,PF,Orlando Magic,0.980431
Devyn Marble,SF,LA Clippers,0.980431
Elton Brand,PF,Philadelphia 76ers,0.980431
